title,rating,voteCount,summary
1. The Shawshank Redemption,9.3,(3M),A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.
2. The Godfather,9.2,(2.1M),The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
3. The Dark Knight,9.0,(3M),When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.
4. The Godfather Part II,9.0,(1.4M),The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.
5. 12 Angry Men,9.0,(907K),The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
6. The Lord of the Rings: The Return of the King,9.0,(2M),Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
7. Schindler's List,9.0,(1.5M),In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
8. Pulp Fiction,8.9,(2.3M),The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
9. The Lord of the Rings: The Fellowship of the Ring,8.9,(2.1M),A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
10. Il buono, il brutto, il cattivo,8.8,(840K),A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
11. Forrest Gump,8.8,(2.3M),The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.
12. The Lord of the Rings: The Two Towers,8.8,(1.8M),While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.
13. Fight Club,8.8,(2.4M),An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
14. Inception,8.8,(2.6M),A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.
15. Star Wars: Episode V - The Empire Strikes Back,8.7,(1.4M),After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.
16. The Matrix,8.7,(2.1M),When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.
17. Goodfellas,8.7,(1.3M),The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.
18. One Flew Over the Cuckoo's Nest,8.7,(1.1M),In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.
